target_class,metric,baseline,candidate,delta_candidate_minus_baseline
command-injection,decision_coverage,0.9,0.1,-0.8
command-injection,end_to_end_recall,,,
command-injection,observable_positive_recall,,,
command-injection,precision,,,
command-injection,end_to_end_specificity,0.9,0.1,-0.8
command-injection,false_positive_rate,0.0,0.0,0.0
command-injection,balanced_accuracy,,,
command-injection,strict_accuracy,0.9,0.1,-0.8
command-injection,f1,,,
heap-buffer-overflow,decision_coverage,0.9,0.1,-0.8
heap-buffer-overflow,end_to_end_recall,1.0,1.0,0.0
heap-buffer-overflow,observable_positive_recall,1.0,1.0,0.0
heap-buffer-overflow,precision,1.0,1.0,0.0
heap-buffer-overflow,end_to_end_specificity,0.8888888888888888,0.0,-0.8888888888888888
heap-buffer-overflow,false_positive_rate,0.0,0.0,0.0
heap-buffer-overflow,balanced_accuracy,0.9444444444444444,0.5,-0.4444444444444444
heap-buffer-overflow,strict_accuracy,0.9,0.1,-0.8
heap-buffer-overflow,f1,1.0,1.0,0.0
integer-overflow,decision_coverage,0.8,0.1,-0.7000000000000001
integer-overflow,end_to_end_recall,1.0,0.0,-1.0
integer-overflow,observable_positive_recall,1.0,0.0,-1.0
integer-overflow,precision,0.2,0.0,-0.2
integer-overflow,end_to_end_specificity,0.3333333333333333,0.0,-0.3333333333333333
integer-overflow,false_positive_rate,0.4444444444444444,0.1111111111111111,-0.3333333333333333
integer-overflow,balanced_accuracy,0.6666666666666666,0.0,-0.6666666666666666
integer-overflow,strict_accuracy,0.4,0.0,-0.4
integer-overflow,f1,0.33333333333333337,,
null-pointer-dereference,decision_coverage,0.8,0.1,-0.7000000000000001
null-pointer-dereference,end_to_end_recall,1.0,0.0,-1.0
null-pointer-dereference,observable_positive_recall,1.0,0.0,-1.0
null-pointer-dereference,precision,0.25,0.0,-0.25
null-pointer-dereference,end_to_end_specificity,0.4444444444444444,0.0,-0.4444444444444444
null-pointer-dereference,false_positive_rate,0.3333333333333333,0.1111111111111111,-0.2222222222222222
null-pointer-dereference,balanced_accuracy,0.7222222222222222,0.0,-0.7222222222222222
null-pointer-dereference,strict_accuracy,0.5,0.0,-0.5
null-pointer-dereference,f1,0.4,,
out-of-bounds-read,decision_coverage,0.6,0.1,-0.5
out-of-bounds-read,end_to_end_recall,0.0,0.0,0.0
out-of-bounds-read,observable_positive_recall,0.0,0.0,0.0
out-of-bounds-read,precision,0.0,0.0,0.0
out-of-bounds-read,end_to_end_specificity,0.2222222222222222,0.0,-0.2222222222222222
out-of-bounds-read,false_positive_rate,0.4444444444444444,0.1111111111111111,-0.3333333333333333
out-of-bounds-read,balanced_accuracy,0.1111111111111111,0.0,-0.1111111111111111
out-of-bounds-read,strict_accuracy,0.2,0.0,-0.2
out-of-bounds-read,f1,,,
use-after-free,decision_coverage,1.0,0.3,-0.7
use-after-free,end_to_end_recall,0.0,0.0,0.0
use-after-free,observable_positive_recall,,,
use-after-free,precision,,,
use-after-free,end_to_end_specificity,1.0,0.3333333333333333,-0.6666666666666667
use-after-free,false_positive_rate,0.0,0.0,0.0
use-after-free,balanced_accuracy,0.5,0.16666666666666666,-0.33333333333333337
use-after-free,strict_accuracy,0.9,0.3,-0.6000000000000001
use-after-free,f1,,,
