task_id,cve_id,project,variant,representation,indexed_bug_class,target_class,expected_positive,limited_observability_reason,input_status,response_status,category,model_verdict,confidence,evidence_lines,summary,model,input_tokens,output_tokens,actual_cost_usd,error
CVE-2026-29004__vulnerable__heap-buffer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,True,,ready,ok,true_positive,vulnerable,0.9,"[63, 65, 66, 69, 70, 71]","A feasible path has bVar1 == 0, making uVar10 zero and the allocation-like call request only 3 bytes. The returned region is then written with 4 bytes at line 70, followed by another byte at offset 4 on line 71, exceeding that requested capacity.",gpt-5.6-sol,2437,1155,0.046835,
CVE-2026-29004__vulnerable__use-after-free,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,[],"No release operation is displayed in the function, so no feasible local free–surviving-alias–later-use sequence is established. Opaque callees cannot be assumed to free referenced objects.",gpt-5.6-sol,2408,210,0.01834,
CVE-2026-29004__vulnerable__integer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.93,"[23, 25, 29, 36]","Line 23 truncates both 64-bit pointers to signed 32-bit values and subtracts them; for example, low halves 0 and 0x80000000 can make the arithmetic wrap to the positive bound 0x7ffffffc. That corrupted bound passes the checks at lines 25 and 29 and permits consequential offset reads such as line 36 despite an invalid or reversed endpoint range.",gpt-5.6-sol,2442,3610,0.12051,
CVE-2026-29004__vulnerable__null-pointer-dereference,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.98,"[23, 25]","param_1 is not checked for NULL before use. A feasible value of param_2 makes iVar13 nonnegative at line 23, causing the short-circuit condition at line 25 to evaluate *param_1 and dereference a NULL param_1.",gpt-5.6-sol,2439,715,0.033645,
CVE-2026-29004__vulnerable__out-of-bounds-read,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.99,"[23, 25, 27, 29, 35, 36]","The range check permits a four-byte option with bVar1 == 0: iVar13 is 0 and line 29 does not break. If bVar2 is 0x1a, line 36 reads four bytes from param_1 + 8, beyond the locally inferred [param_1, param_2) range.",gpt-5.6-sol,2426,1042,0.04339,
CVE-2026-29004__vulnerable__command-injection,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[38, 45, 55, 91, 95, 113]","Parameter-derived data is incorporated into formatted strings and passed to opaque helper functions. No locally visible system, popen, explicit shell invocation, or other recognized shell-capable sink receives those strings, so formatting alone does not establish command injection.",gpt-5.6-sol,2450,106,0.01543,
CVE-2026-29004__patched__heap-buffer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,False,,ready,ok,abstention,indeterminate,0.9,"[63, 66, 69, 70, 71, 72, 74, 76, 79, 80]","The apparent allocation is 40*n+5 bytes, where n=bVar1>>4; the explicit prefix, terminator, separators, and pointer increments fit that capacity. However, FUN_00108663 writes through the heap pointer on each iteration and its maximum output size is not available in this isolated function, so a destination-capacity mismatch can neither be established nor excluded.",gpt-5.6-sol,2437,1178,0.047525,
CVE-2026-29004__patched__use-after-free,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[66, 67, 68, 69, 70, 71, 72, 74, 76, 79, 80]","No explicit release operation is present in the function. The locally visible allocated pointer at line 66 and its aliases are used without any intervening free, so the required release-surviving-alias-later-use sequence is absent.",gpt-5.6-sol,2408,244,0.01936,
CVE-2026-29004__patched__integer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.94,"[23, 25, 26, 29, 123]","Line 23 truncates both pointers to 32-bit signed int and subtracts them; plausible low-32-bit pointer values can make this subtraction overflow or wrap to a misleading nonnegative length. The resulting iVar13 directly controls the loop and option-length checks at lines 25 and 29 while param_1 is advanced and dereferenced, so wrapping can bypass the local bounds protection.",gpt-5.6-sol,2442,1170,0.04731,
CVE-2026-29004__patched__null-pointer-dereference,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.98,"[23, 25]","param_1 is not checked for NULL before being dereferenced at line 25. A feasible path exists where the first short-circuit condition is true, causing evaluation of *param_1 while param_1 is NULL.",gpt-5.6-sol,2439,615,0.030645,
CVE-2026-29004__patched__out-of-bounds-read,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.99,"[23, 25, 26, 27, 29, 30, 35, 36]","With param_2 equal to param_1 + 4, iVar13 is zero, and a four-byte option with bytes 0 and 2 zero, length byte 0, and type 0x1a passes the loop and length checks. Line 36 then reads four bytes from param_1 + 8, beyond the param_1-to-param_2 extent, without any bound recheck for that fixed offset.",gpt-5.6-sol,2426,622,0.03079,
CVE-2026-29004__patched__command-injection,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[38, 45, 55, 66, 74, 91, 95, 113]","Parameter-derived data is copied or formatted into strings and passed to opaque helper functions, but this function contains no recognized shell-capable sink such as system, popen, or an explicit shell invocation. Under the isolation rules, command injection is therefore not established.",gpt-5.6-sol,2450,114,0.01567,
CVE-2021-42386__vulnerable__heap-buffer-overflow,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.95,"[16, 21, 22, 23, 25, 28, 35, 36, 37, 38]","The opaque call is locally allocation-like and requests 32*(iVar3+1) bytes, with a 32-byte header and iVar3 payload records; iVar3 is at least param_1 for positive requests. Existing blocks are selected only when their remaining record capacity covers param_1, and the loop advances 32 bytes per record while writing only bytes 0-3 and 16-23 of each record.",gpt-5.6-sol,1230,1191,0.04188,
CVE-2021-42386__vulnerable__use-after-free,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,use-after-free,True,"The isolated nvalloc body does not show the freeing operation, retained stale alias, and later dereference needed to prove the indexed cross-function use-after-free.",ready,ok,false_negative,not_vulnerable,0.99,"[15, 18, 19, 25, 29, 31, 34, 39]","No release operation is visible in this function. Removed list entries remain referenced through piVar6 and are later linked to a newly allocated entry, but without a demonstrated free there is no stale-reference use-after-free sequence.",gpt-5.6-sol,1201,276,0.014285,
CVE-2021-42386__vulnerable__integer-overflow,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,integer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.96,"[16, 21, 22, 23, 25, 35, 36]","The allocation calculation widens the bounded 32-bit int to long before adding and multiplying, so even INT_MAX produces a value well within 64-bit range. The capacity check and pointer-offset calculations likewise use long arithmetic; param_1 multiplied by the effective 32-byte element stride cannot overflow a 64-bit long. Negative values may cause problematic pointer movement, but that is not an integer-overflow finding.",gpt-5.6-sol,1235,844,0.031495,
CVE-2021-42386__vulnerable__null-pointer-dereference,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,null-pointer-dereference,False,,ready,ok,abstention,indeterminate,0.94,"[25, 27]","The opaque call at line 25 supplies piVar4, which is dereferenced without a guard at line 27. Because the isolated function provides no evidence that FUN_00119b6d can return NULL, its nullability cannot be established or excluded.",gpt-5.6-sol,1232,506,0.02134,
CVE-2021-42386__vulnerable__out-of-bounds-read,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,out-of-bounds-read,False,,ready,ok,true_negative,not_vulnerable,0.95,"[15, 16, 34, 35, 36, 37, 38]","The displayed reads are fixed metadata accesses at lines 15-16 and 34, not reads indexed by the adjusted data pointer. After the pointer adjustment at line 35, the loop performs only writes at lines 37-38, so no path reaches an out-of-bounds read.",gpt-5.6-sol,1219,1675,0.056345,
CVE-2021-42386__vulnerable__command-injection,CVE-2021-42386,busybox,vulnerable,ghidra_pseudo_c,use-after-free,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 25, 34, 42]","The function performs allocation and initialization based on param_1. It contains no command construction, shell-capable sink, or explicit shell invocation, so the required local command-injection data flow is absent.",gpt-5.6-sol,1243,95,0.009065,
CVE-2021-42386__patched__heap-buffer-overflow,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.99,"[11, 12, 13, 14, 15]","The function requests 32 bytes per input element from xzalloc and only casts and returns the resulting pointer. It performs no subsequent writes through the returned heap region, so no allocation-to-write capacity mismatch exists locally.",gpt-5.6-sol,843,179,0.009585,
CVE-2021-42386__patched__use-after-free,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 14, 15]","The function allocates zero-initialized storage, casts the returned pointer, and returns it. No release operation or subsequent use of a stale alias is present.",gpt-5.6-sol,814,85,0.00662,
CVE-2021-42386__patched__integer-overflow,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,integer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.99,"[10, 11, 12, 13]","The i32 input is sign-extended to i64 before multiplication by 32. Its resulting range fits comfortably within signed i64, so the allocation-size calculation cannot overflow, although negative inputs could produce an undesirable size representation for reasons outside this target class.",gpt-5.6-sol,848,220,0.01084,
CVE-2021-42386__patched__null-pointer-dereference,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,null-pointer-dereference,False,,ready,ok,true_negative,not_vulnerable,0.99,"[13, 14, 15]","The allocation result is only bitcast and returned. This function never dereferences it, performs pointer arithmetic on it, or passes it to a recognized non-NULL-requiring operation.",gpt-5.6-sol,845,145,0.008575,
CVE-2021-42386__patched__out-of-bounds-read,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,out-of-bounds-read,False,,ready,ok,true_negative,not_vulnerable,0.99,"[8, 9, 10, 11, 12, 13, 14, 15]","The only memory read is the load at line 10 from the local i32 allocation created at line 8 and initialized at line 9. The remaining operations perform arithmetic, allocation, casting, and return without reading from the allocated buffer.",gpt-5.6-sol,832,190,0.00986,
CVE-2021-42386__patched__command-injection,CVE-2021-42386,busybox,patched,llvm_ir,use-after-free,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[7, 10, 11, 12, 13, 15]","The integer parameter is used only to calculate an allocation size passed to xzalloc. No command string construction, shell invocation, system, popen, or other shell-capable sink appears in the function.",gpt-5.6-sol,856,100,0.00728,
CVE-2017-15873__vulnerable__heap-buffer-overflow,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,heap-buffer-overflow,False,,ready,ok,abstention,indeterminate,0.88,"[40, 42, 209, 214, 236, 237, 254, 266]","The destination pointer is loaded from param_1, with no local allocation or allocation-size expression establishing its heap provenance or byte capacity. Several writes are apparently bounded using iVar17, but this function alone cannot establish that iVar17 corresponds to the destination's allocated capacity, so a capacity mismatch can neither be proven nor excluded.",gpt-5.6-sol,5185,1514,0.071345,
CVE-2017-15873__vulnerable__use-after-free,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[258, 295, 296, 299]","No release operation is displayed in the function; the only recognized library memory operation is memmove, which does not free storage. Therefore, no feasible local free–surviving-alias–later-use sequence is established.",gpt-5.6-sol,5156,328,0.03562,
CVE-2017-15873__vulnerable__integer-overflow,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,integer-overflow,True,,ready,api_error,api_error,,,[],,gpt-5.6-sol,,,,Didn't receive a `response.completed` event.
CVE-2017-15873__vulnerable__null-pointer-dereference,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.99,"[1, 40]",param_1 has no preceding NULL guard and is dereferenced at line 40 via *(long *)(param_1 + 0x10). Thus a NULL param_1 reaches an unsafe use immediately on function entry.,gpt-5.6-sol,5187,357,0.036645,
CVE-2017-15873__vulnerable__out-of-bounds-read,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,out-of-bounds-read,False,,ready,api_error,api_error,,,[],,gpt-5.6-sol,,,,Didn't receive a `response.completed` event.
CVE-2017-15873__vulnerable__command-injection,CVE-2017-15873,busybox,vulnerable,ghidra_pseudo_c,integer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[43, 44, 45, 258, 296, 299]","The function uses parameter-derived state for parsing/decompression and memory operations, but performs no visible command construction or shell-capable invocation. The opaque FUN_00112846 calls cannot be treated as shell sinks, and the only recognized library call shown is memmove.",gpt-5.6-sol,5198,266,0.03397,
