cve_id,target_class,matched_ground_truth_class,vulnerable_variant_value,patched_variant_value,pair_category
CVE-2017-15873,command-injection,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2017-15873,heap-buffer-overflow,False,indeterminate,not_vulnerable,incorrect_or_incomplete_negative_pair
CVE-2017-15873,integer-overflow,True,api_error,vulnerable,incorrect_or_incomplete_matched_transition
CVE-2017-15873,null-pointer-dereference,False,vulnerable,vulnerable,incorrect_or_incomplete_negative_pair
CVE-2017-15873,out-of-bounds-read,False,api_error,api_error,incorrect_or_incomplete_negative_pair
CVE-2017-15873,use-after-free,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42373,command-injection,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42373,heap-buffer-overflow,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42373,integer-overflow,False,indeterminate,indeterminate,incorrect_or_incomplete_negative_pair
CVE-2021-42373,null-pointer-dereference,True,vulnerable,vulnerable,incorrect_or_incomplete_matched_transition
CVE-2021-42373,out-of-bounds-read,False,indeterminate,indeterminate,incorrect_or_incomplete_negative_pair
CVE-2021-42373,use-after-free,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42374,command-injection,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42374,heap-buffer-overflow,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42374,integer-overflow,False,api_error,api_error,incorrect_or_incomplete_negative_pair
CVE-2021-42374,null-pointer-dereference,False,indeterminate,vulnerable,incorrect_or_incomplete_negative_pair
CVE-2021-42374,out-of-bounds-read,True,api_error,api_error,incorrect_or_incomplete_matched_transition
CVE-2021-42374,use-after-free,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42386,command-injection,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42386,heap-buffer-overflow,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42386,integer-overflow,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42386,null-pointer-dereference,False,indeterminate,not_vulnerable,incorrect_or_incomplete_negative_pair
CVE-2021-42386,out-of-bounds-read,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2021-42386,use-after-free,True,not_vulnerable,not_vulnerable,incorrect_or_incomplete_matched_transition
CVE-2026-29004,command-injection,False,not_vulnerable,not_vulnerable,stable_negative
CVE-2026-29004,heap-buffer-overflow,True,vulnerable,indeterminate,incorrect_or_incomplete_matched_transition
CVE-2026-29004,integer-overflow,False,vulnerable,vulnerable,incorrect_or_incomplete_negative_pair
CVE-2026-29004,null-pointer-dereference,False,vulnerable,vulnerable,incorrect_or_incomplete_negative_pair
CVE-2026-29004,out-of-bounds-read,False,vulnerable,vulnerable,incorrect_or_incomplete_negative_pair
CVE-2026-29004,use-after-free,False,not_vulnerable,not_vulnerable,stable_negative
