task_id,baseline_category,candidate_category,baseline_verdict,candidate_verdict,baseline_confidence,candidate_confidence,category_changed,verdict_changed
CVE-2017-15873__patched__command-injection,missing_output,missing_output,,,,,False,False
CVE-2017-15873__patched__heap-buffer-overflow,missing_output,missing_output,,,,,False,False
CVE-2017-15873__patched__integer-overflow,missing_output,missing_output,,,,,False,False
CVE-2017-15873__patched__null-pointer-dereference,missing_output,missing_output,,,,,False,False
CVE-2017-15873__patched__out-of-bounds-read,missing_output,missing_output,,,,,False,False
CVE-2017-15873__patched__use-after-free,missing_output,missing_output,,,,,False,False
CVE-2017-15873__vulnerable__command-injection,missing_output,missing_output,,,,,False,False
CVE-2017-15873__vulnerable__heap-buffer-overflow,missing_output,abstention,,indeterminate,,0.97,True,True
CVE-2017-15873__vulnerable__integer-overflow,missing_output,invalid_output,,,,,True,False
CVE-2017-15873__vulnerable__null-pointer-dereference,missing_output,false_positive,,vulnerable,,0.99,True,True
CVE-2017-15873__vulnerable__out-of-bounds-read,missing_output,invalid_output,,,,,True,False
CVE-2017-15873__vulnerable__use-after-free,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2021-42373__patched__command-injection,missing_output,missing_output,,,,,False,False
CVE-2021-42373__patched__heap-buffer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42373__patched__integer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42373__patched__null-pointer-dereference,missing_output,missing_output,,,,,False,False
CVE-2021-42373__patched__out-of-bounds-read,missing_output,missing_output,,,,,False,False
CVE-2021-42373__patched__use-after-free,missing_output,missing_output,,,,,False,False
CVE-2021-42373__vulnerable__command-injection,missing_output,missing_output,,,,,False,False
CVE-2021-42373__vulnerable__heap-buffer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42373__vulnerable__integer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42373__vulnerable__null-pointer-dereference,missing_output,missing_output,,,,,False,False
CVE-2021-42373__vulnerable__out-of-bounds-read,missing_output,missing_output,,,,,False,False
CVE-2021-42373__vulnerable__use-after-free,missing_output,missing_output,,,,,False,False
CVE-2021-42374__patched__command-injection,missing_output,missing_output,,,,,False,False
CVE-2021-42374__patched__heap-buffer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42374__patched__integer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42374__patched__null-pointer-dereference,missing_output,missing_output,,,,,False,False
CVE-2021-42374__patched__out-of-bounds-read,missing_output,missing_output,,,,,False,False
CVE-2021-42374__patched__use-after-free,missing_output,missing_output,,,,,False,False
CVE-2021-42374__vulnerable__command-injection,missing_output,missing_output,,,,,False,False
CVE-2021-42374__vulnerable__heap-buffer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42374__vulnerable__integer-overflow,missing_output,missing_output,,,,,False,False
CVE-2021-42374__vulnerable__null-pointer-dereference,missing_output,missing_output,,,,,False,False
CVE-2021-42374__vulnerable__out-of-bounds-read,missing_output,missing_output,,,,,False,False
CVE-2021-42374__vulnerable__use-after-free,missing_output,missing_output,,,,,False,False
CVE-2021-42386__patched__command-injection,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2021-42386__patched__heap-buffer-overflow,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2021-42386__patched__integer-overflow,missing_output,true_negative,,not_vulnerable,,0.98,True,True
CVE-2021-42386__patched__null-pointer-dereference,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2021-42386__patched__out-of-bounds-read,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2021-42386__patched__use-after-free,true_negative,true_negative,not_vulnerable,not_vulnerable,0.99,0.99,False,False
CVE-2021-42386__vulnerable__command-injection,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2021-42386__vulnerable__heap-buffer-overflow,missing_output,true_negative,,not_vulnerable,,0.93,True,True
CVE-2021-42386__vulnerable__integer-overflow,missing_output,true_negative,,not_vulnerable,,0.97,True,True
CVE-2021-42386__vulnerable__null-pointer-dereference,missing_output,abstention,,indeterminate,,0.96,True,True
CVE-2021-42386__vulnerable__out-of-bounds-read,missing_output,true_negative,,not_vulnerable,,0.91,True,True
CVE-2021-42386__vulnerable__use-after-free,missing_output,false_negative,,not_vulnerable,,0.98,True,True
CVE-2026-29004__patched__command-injection,missing_output,true_negative,,not_vulnerable,,0.99,True,True
CVE-2026-29004__patched__heap-buffer-overflow,abstention,abstention,indeterminate,indeterminate,0.96,0.9,False,False
CVE-2026-29004__patched__integer-overflow,invalid_output,false_positive,,vulnerable,,0.91,True,True
CVE-2026-29004__patched__null-pointer-dereference,missing_output,false_positive,,vulnerable,,0.98,True,True
CVE-2026-29004__patched__out-of-bounds-read,missing_output,false_positive,,vulnerable,,0.99,True,True
CVE-2026-29004__patched__use-after-free,true_negative,true_negative,not_vulnerable,not_vulnerable,0.99,0.99,False,False
CVE-2026-29004__vulnerable__command-injection,true_negative,true_negative,not_vulnerable,not_vulnerable,0.99,0.99,False,False
CVE-2026-29004__vulnerable__heap-buffer-overflow,true_positive,true_positive,vulnerable,vulnerable,0.91,0.95,False,False
CVE-2026-29004__vulnerable__integer-overflow,false_positive,false_positive,vulnerable,vulnerable,0.94,0.97,False,False
CVE-2026-29004__vulnerable__null-pointer-dereference,false_positive,false_positive,vulnerable,vulnerable,0.97,0.98,False,False
CVE-2026-29004__vulnerable__out-of-bounds-read,false_positive,false_positive,vulnerable,vulnerable,0.99,0.99,False,False
CVE-2026-29004__vulnerable__use-after-free,true_negative,true_negative,not_vulnerable,not_vulnerable,0.99,0.99,False,False
