task_id,cve_id,project,variant,representation,indexed_bug_class,target_class,expected_positive,limited_observability_reason,input_status,response_status,category,model_verdict,confidence,evidence_lines,summary,model,input_tokens,output_tokens,actual_cost_usd,error
CVE-2026-29004__vulnerable__heap-buffer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,True,,ready,ok,true_positive,vulnerable,0.93,"[63, 65, 66, 69, 70, 71]","A feasible path has bVar1 == 0, making uVar10 zero and the allocation-like call request only 3 bytes. The returned region is then immediately written with 4 bytes at line 70, followed by another byte at offset 4 at line 71, exceeding the locally plausible allocation size.",gpt-5.6-sol,2437,478,0.026525,
CVE-2026-29004__vulnerable__use-after-free,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.98,"[66, 67, 68, 69, 70, 71, 72, 83, 125, 126]","The function contains no displayed release operation. The locally visible allocated pointer is stored and then used without any intervening free, so no release–surviving-alias–later-use sequence is established.",gpt-5.6-sol,2408,248,0.01948,
CVE-2026-29004__vulnerable__integer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.9,"[23, 25, 26, 29, 123]","Line 23 truncates two pointers to 32-bit int and performs signed subtraction followed by subtracting 4; feasible pointer low-bit values can overflow or wrap this computation. The resulting iVar13 controls the loop and its bounds check, allowing iteration and pointer advancement despite an invalid computed remaining length; later decrements are bounded per iteration but cannot repair the corrupted initial bound.",gpt-5.6-sol,2442,570,0.02931,
CVE-2026-29004__vulnerable__null-pointer-dereference,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,true_negative,not_vulnerable,0.91,"[25, 37, 41, 44, 47, 58, 59, 66, 67, 68, 90, 92, 94, 98, 107, 116]","No displayed branch or local operation produces a NULL pointer that reaches an unsafe use. Although several opaque call results are dereferenced without explicit checks, the isolation rules prohibit assuming those callees can return NULL, and the strlen argument is initialized from a valid string literal and used under a terminating-character loop.",gpt-5.6-sol,2439,363,0.023085,
CVE-2026-29004__vulnerable__out-of-bounds-read,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.99,"[23, 25, 27, 29, 30, 35, 36]","A feasible path has param_2 - param_1 equal to 4 and bVar1 equal to 0, so the loop and length check pass while only the four-byte option header is within the inferred extent. If bVar2 is 0x1a, line 36 reads four bytes from param_1 + 8 without any minimum-length check, outside that extent.",gpt-5.6-sol,2426,583,0.02962,
CVE-2026-29004__vulnerable__command-injection,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[38, 45, 55, 91, 95, 113]","Parameter-derived data is copied and formatted into strings, including at line 113. However, the function contains no recognized shell-capable sink such as system, popen, or an explicit shell invocation; opaque FUN_* callees cannot be assumed to execute commands.",gpt-5.6-sol,2450,111,0.01558,
CVE-2026-29004__patched__heap-buffer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,False,,ready,ok,true_negative,not_vulnerable,0.93,"[63, 65, 66, 69, 70, 71, 72, 73, 74, 75, 76, 79, 80, 82]","The locally plausible allocation is 40*n+5 bytes, where n=bVar1>>4 and the low-nibble check bounds n to at most 15. The four-byte prefix, initial terminator, 40-byte per-iteration pointer stride, and separators at offset 39 remain within that capacity; the opaque conversion call provides no locally supportable evidence of a larger write.",gpt-5.6-sol,2437,602,0.030245,
CVE-2026-29004__patched__use-after-free,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.98,[],"No release operation is displayed in this function, so no feasible local free-alias-later-use sequence exists. Opaque callees cannot be assumed to free any referenced object.",gpt-5.6-sol,2408,83,0.01453,
CVE-2026-29004__patched__integer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.88,"[23, 25, 26, 29, 123]","Line 23 truncates 64-bit pointer values to signed 32-bit integers and subtracts them; feasible low-32-bit values can cause signed overflow or a wrapped positive result unrelated to the true span. The corrupted iVar13 directly controls the loop and length check at lines 25 and 29, permitting option parsing and pointer advancement beyond the intended param_2 boundary. Decompiler-inferred signedness introduces some uncertainty, but the displayed 32-bit int arithmetic and its local bounds-check consequence provide concrete target-class evidence.",gpt-5.6-sol,2442,619,0.03078,
CVE-2026-29004__patched__null-pointer-dereference,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,true_negative,not_vulnerable,0.93,"[25, 37, 41, 66, 68, 70, 107, 116]","No displayed local source or branch establishes that a dereferenced pointer can be NULL. Although several opaque callees return pointers that are subsequently dereferenced, their names do not reliably establish nullable allocation semantics, and the function provides no local control-flow evidence that they return NULL; strlen receives a pointer initialized from a string literal.",gpt-5.6-sol,2439,380,0.023595,
