metric,baseline,candidate,delta_candidate_minus_baseline
decision_coverage,0.8333333333333334,0.4,-0.43333333333333335
end_to_end_recall,0.6,0.2,-0.39999999999999997
observable_positive_recall,0.75,0.25,-0.5
precision,0.21428571428571427,0.125,-0.08928571428571427
end_to_end_specificity,0.6363636363636364,0.2727272727272727,-0.36363636363636365
false_positive_rate,0.2,0.12727272727272726,-0.07272727272727275
balanced_accuracy,0.6181818181818182,0.23636363636363636,-0.38181818181818183
strict_accuracy,0.6333333333333333,0.26666666666666666,-0.36666666666666664
f1,0.3157894736842105,0.15384615384615385,-0.16194331983805665
count.abstention,10,3,-7
count.false_negative,1,1,0
count.false_positive,11,7,-4
count.invalid_output,0,2,2
count.missing_output,0,31,31
count.true_negative,35,15,-20
count.true_positive,3,1,-2
cost.recorded_cumulative_usd,1.88903,1.40728,-0.4817499999999999
