task_id,baseline_category,candidate_category,baseline_verdict,candidate_verdict,baseline_confidence,candidate_confidence,category_changed,verdict_changed
CVE-2017-15873__patched__command-injection,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2017-15873__patched__heap-buffer-overflow,abstention,missing_output,indeterminate,,0.97,,True,True
CVE-2017-15873__patched__integer-overflow,false_positive,missing_output,vulnerable,,0.94,,True,True
CVE-2017-15873__patched__null-pointer-dereference,false_positive,missing_output,vulnerable,,0.99,,True,True
CVE-2017-15873__patched__out-of-bounds-read,false_positive,missing_output,vulnerable,,0.98,,True,True
CVE-2017-15873__patched__use-after-free,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2017-15873__vulnerable__command-injection,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2017-15873__vulnerable__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.94,,True,True
CVE-2017-15873__vulnerable__integer-overflow,true_positive,missing_output,vulnerable,,0.94,,True,True
CVE-2017-15873__vulnerable__null-pointer-dereference,false_positive,missing_output,vulnerable,,0.96,,True,True
CVE-2017-15873__vulnerable__out-of-bounds-read,false_positive,missing_output,vulnerable,,0.96,,True,True
CVE-2017-15873__vulnerable__use-after-free,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42373__patched__command-injection,true_negative,missing_output,not_vulnerable,,0.98,,True,True
CVE-2021-42373__patched__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.94,,True,True
CVE-2021-42373__patched__integer-overflow,abstention,missing_output,indeterminate,,0.76,,True,True
CVE-2021-42373__patched__null-pointer-dereference,true_negative,missing_output,not_vulnerable,,0.9,,True,True
CVE-2021-42373__patched__out-of-bounds-read,abstention,missing_output,indeterminate,,0.93,,True,True
CVE-2021-42373__patched__use-after-free,true_negative,missing_output,not_vulnerable,,0.98,,True,True
CVE-2021-42373__vulnerable__command-injection,abstention,missing_output,indeterminate,,0.95,,True,True
CVE-2021-42373__vulnerable__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.97,,True,True
CVE-2021-42373__vulnerable__integer-overflow,abstention,missing_output,indeterminate,,0.74,,True,True
CVE-2021-42373__vulnerable__null-pointer-dereference,true_positive,missing_output,vulnerable,,0.98,,True,True
CVE-2021-42373__vulnerable__out-of-bounds-read,abstention,missing_output,indeterminate,,0.82,,True,True
CVE-2021-42373__vulnerable__use-after-free,true_negative,missing_output,not_vulnerable,,0.98,,True,True
CVE-2021-42374__patched__command-injection,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42374__patched__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.94,,True,True
CVE-2021-42374__patched__integer-overflow,false_positive,missing_output,vulnerable,,0.74,,True,True
CVE-2021-42374__patched__null-pointer-dereference,false_positive,missing_output,vulnerable,,0.97,,True,True
CVE-2021-42374__patched__out-of-bounds-read,abstention,missing_output,indeterminate,,0.9,,True,True
CVE-2021-42374__patched__use-after-free,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42374__vulnerable__command-injection,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42374__vulnerable__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.94,,True,True
CVE-2021-42374__vulnerable__integer-overflow,true_negative,missing_output,not_vulnerable,,0.86,,True,True
CVE-2021-42374__vulnerable__null-pointer-dereference,abstention,missing_output,indeterminate,,0.96,,True,True
CVE-2021-42374__vulnerable__out-of-bounds-read,abstention,missing_output,indeterminate,,0.86,,True,True
CVE-2021-42374__vulnerable__use-after-free,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__patched__command-injection,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__patched__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__patched__integer-overflow,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__patched__null-pointer-dereference,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__patched__out-of-bounds-read,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__patched__use-after-free,true_negative,true_negative,not_vulnerable,not_vulnerable,0.99,0.99,False,False
CVE-2021-42386__vulnerable__command-injection,true_negative,missing_output,not_vulnerable,,0.99,,True,True
CVE-2021-42386__vulnerable__heap-buffer-overflow,true_negative,missing_output,not_vulnerable,,0.96,,True,True
CVE-2021-42386__vulnerable__integer-overflow,true_negative,missing_output,not_vulnerable,,0.93,,True,True
CVE-2021-42386__vulnerable__null-pointer-dereference,abstention,missing_output,indeterminate,,0.96,,True,True
CVE-2021-42386__vulnerable__out-of-bounds-read,true_negative,missing_output,not_vulnerable,,0.96,,True,True
CVE-2021-42386__vulnerable__use-after-free,false_negative,missing_output,not_vulnerable,,0.98,,True,True
CVE-2026-29004__patched__command-injection,true_negative,missing_output,not_vulnerable,,0.98,,True,True
CVE-2026-29004__patched__heap-buffer-overflow,true_negative,abstention,not_vulnerable,indeterminate,0.93,0.96,True,True
CVE-2026-29004__patched__integer-overflow,false_positive,invalid_output,vulnerable,,0.88,,True,True
CVE-2026-29004__patched__null-pointer-dereference,true_negative,missing_output,not_vulnerable,,0.93,,True,True
CVE-2026-29004__patched__out-of-bounds-read,false_positive,missing_output,vulnerable,,0.98,,True,True
CVE-2026-29004__patched__use-after-free,true_negative,true_negative,not_vulnerable,not_vulnerable,0.98,0.99,False,False
CVE-2026-29004__vulnerable__command-injection,true_negative,true_negative,not_vulnerable,not_vulnerable,0.99,0.99,False,False
CVE-2026-29004__vulnerable__heap-buffer-overflow,true_positive,true_positive,vulnerable,vulnerable,0.93,0.91,False,False
CVE-2026-29004__vulnerable__integer-overflow,false_positive,false_positive,vulnerable,vulnerable,0.9,0.94,False,False
CVE-2026-29004__vulnerable__null-pointer-dereference,true_negative,false_positive,not_vulnerable,vulnerable,0.91,0.97,True,True
CVE-2026-29004__vulnerable__out-of-bounds-read,false_positive,false_positive,vulnerable,vulnerable,0.99,0.99,False,False
CVE-2026-29004__vulnerable__use-after-free,true_negative,true_negative,not_vulnerable,not_vulnerable,0.98,0.99,False,False
