task_id,cve_id,project,variant,representation,indexed_bug_class,target_class,expected_positive,limited_observability_reason,input_status,response_status,category,model_verdict,confidence,evidence_lines,summary,model,input_tokens,output_tokens,actual_cost_usd,error
CVE-2026-29004__vulnerable__heap-buffer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,True,,ready,ok,true_positive,vulnerable,0.95,"[63, 65, 66, 69, 70, 71, 72]","On the feasible bVar1 == 0 path, uVar10 is zero and the allocation-like call receives size 3. The returned region is then written with 4 bytes at offset 0 and another byte at offset 4 before the zero-iteration loop, exceeding that capacity.",gpt-5.6-sol,2437,637,0.031295,
CVE-2026-29004__vulnerable__use-after-free,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[37, 41, 44, 47, 58, 59, 66, 67, 68, 90, 92, 94, 98]","No displayed operation frees or otherwise releases an object before a later use. The function only obtains pointers from opaque callees and stores or dereferences them, so the required local release, surviving alias, and stale use sequence is absent.",gpt-5.6-sol,2408,252,0.0196,
CVE-2026-29004__vulnerable__integer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.97,"[23, 25, 26, 29, 123]","Line 23 narrows both 64-bit pointer values to 32-bit int and performs signed subtraction and subtraction by 4; feasible low-half values can overflow/wrap and produce a nonnegative, incorrect remaining length. That corrupted value gates loop entry and the option-length check at lines 25 and 29, allowing data-dependent reads and pointer advancement at line 26 despite an invalid computed bound.",gpt-5.6-sol,2442,1459,0.05598,
CVE-2026-29004__vulnerable__null-pointer-dereference,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.98,"[23, 25]","param_1 is not checked for NULL. A feasible entry with param_1 == NULL and param_2 producing a nonnegative iVar13 passes the first short-circuit operand at line 25, causing *param_1 to be evaluated and dereferenced.",gpt-5.6-sol,2439,930,0.040095,
CVE-2026-29004__vulnerable__out-of-bounds-read,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.99,"[23, 25, 27, 29, 30, 35, 36]","The loop establishes only that four bytes remain, and line 29 checks the declared payload length bVar1 rather than the fixed offset used later. With param_2 == param_1 + 4, bVar1 == 0, and bVar2 == 0x1a, the checks pass and line 36 reads four bytes from param_1 + 8, beyond the inferred [param_1, param_2) extent.",gpt-5.6-sol,2426,671,0.03226,
CVE-2026-29004__vulnerable__command-injection,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[38, 45, 55, 58, 59, 91, 95, 113, 114]","Parameter-derived data is formatted into strings and stored through opaque helper calls, but the function contains no recognized shell-capable sink such as system, popen, or an explicit shell invocation. Under the isolation rules, the opaque FUN_* callees cannot be assumed to execute commands.",gpt-5.6-sol,2450,197,0.01816,
CVE-2026-29004__patched__heap-buffer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,False,,ready,ok,abstention,indeterminate,0.9,"[63, 65, 66, 69, 70, 71, 72, 74, 75, 76, 79, 80, 82]","The apparent allocation requests 40*n+5 bytes, where n=bVar1>>4, and the explicit prefix, terminator, separators, and 40-byte destination strides fit that capacity. However, FUN_00108663 is an opaque call writing through each destination pointer without a displayed size bound, so the maximum bytes written cannot be established or excluded locally.",gpt-5.6-sol,2437,1594,0.060005,
CVE-2026-29004__patched__use-after-free,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[66, 67, 68, 125, 126]","No release operation is displayed anywhere in the function. Although allocated or returned pointers are stored and used, there is no locally visible free followed by use of a surviving alias.",gpt-5.6-sol,2408,285,0.02059,
CVE-2026-29004__patched__integer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.91,"[23, 25, 26, 27, 29]","Line 23 truncates both pointers to inferred 32-bit signed int values and performs subtraction plus -4, which can overflow or wrap for plausible pointer values. The resulting iVar13 controls the local bounds checks at lines 25 and 29; a wrapped nonnegative value can admit the loop and permit reads and pointer advancement at lines 25-27 despite an invalid range.",gpt-5.6-sol,2442,2204,0.07833,
CVE-2026-29004__patched__null-pointer-dereference,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.98,"[23, 25]","If param_1 is NULL and line 23 produces iVar13 >= 0 for a suitable param_2, short-circuit evaluation at line 25 reaches *param_1. No NULL guard precedes this dereference.",gpt-5.6-sol,2439,1293,0.050985,
