task_id,cve_id,project,variant,representation,indexed_bug_class,target_class,expected_positive,limited_observability_reason,input_status,response_status,category,model_verdict,confidence,evidence_lines,summary,model,input_tokens,output_tokens,actual_cost_usd,error
CVE-2026-29004__vulnerable__heap-buffer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,True,,ready,ok,true_positive,vulnerable,0.91,"[63, 65, 66, 69, 70, 71]","On the feasible bVar1 == 0 path, the low-nibble check passes and uVar10 becomes zero, so the allocation-like call receives only 3 bytes. The returned region is then written with 4 bytes at offsets 0–3 and another byte at offset 4, requiring at least 5 bytes; confidence is slightly reduced because the allocator is an opaque function.",gpt-5.6-sol,2437,1135,0.046235,
CVE-2026-29004__vulnerable__use-after-free,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[37, 41, 58, 59, 66, 68, 125, 126]","No displayed operation releases memory or otherwise ends an object's lifetime. The function allocates or obtains pointers and stores them, but contains no locally visible free followed by use of a surviving alias.",gpt-5.6-sol,2408,208,0.01828,
CVE-2026-29004__vulnerable__integer-overflow,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,ok,false_positive,vulnerable,0.94,"[23, 25, 26, 29]","Line 23 narrows 64-bit pointers to signed 32-bit integers before subtracting and subtracting four; plausible low-32-bit values spanning the signed boundary can wrap and produce a large nonnegative iVar13 even when param_2 does not bound param_1. That corrupted value controls the loop-entry and option-length checks at lines 25 and 29, permitting local reads and pointer advancement at line 26 beyond the intended end pointer.",gpt-5.6-sol,2442,1181,0.04764,
CVE-2026-29004__vulnerable__null-pointer-dereference,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,ok,false_positive,vulnerable,0.97,"[23, 25]","param_1 has no non-NULL guard. When the value computed at line 23 makes -1 < iVar13 true, short-circuit evaluation reaches *param_1 at line 25 and dereferences a potentially NULL pointer.",gpt-5.6-sol,2439,792,0.035955,
CVE-2026-29004__vulnerable__out-of-bounds-read,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,out-of-bounds-read,False,,ready,ok,false_positive,vulnerable,0.99,"[23, 25, 27, 29, 30, 35, 36]","A feasible path has param_2 == param_1 + 4, making iVar13 zero, with a valid four-byte header whose type is 0x1a and length byte is zero. The loop and line 29 checks pass, but line 36 performs a four-byte read at param_1 + 8, beyond the bound represented by param_2.",gpt-5.6-sol,2426,801,0.03616,
CVE-2026-29004__vulnerable__command-injection,CVE-2026-29004,busybox,vulnerable,ghidra_pseudo_c,heap-buffer-overflow,command-injection,False,,ready,ok,true_negative,not_vulnerable,0.99,"[38, 45, 91, 95, 113]","Parameter-derived data is incorporated into formatted strings, but the function contains no locally visible shell-capable sink such as system, popen, or an explicit shell invocation. Under the isolation rules, the opaque callees cannot be assumed to execute commands.",gpt-5.6-sol,2450,203,0.01834,
CVE-2026-29004__patched__heap-buffer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,heap-buffer-overflow,False,,ready,ok,abstention,indeterminate,0.96,"[63, 65, 66, 69, 70, 71, 72, 74, 76, 79, 80]","The allocation-like call receives 40*n+5 bytes, where n is bVar1>>4, and the explicit four-byte prefix, terminator, separators, and 40-byte pointer increments fit that capacity. However, FUN_00108663 writes through the heap pointer with no locally established output bound, so a capacity mismatch can neither be proved nor excluded.",gpt-5.6-sol,2437,1694,0.063005,
CVE-2026-29004__patched__use-after-free,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,use-after-free,False,,ready,ok,true_negative,not_vulnerable,0.99,"[37, 44, 58, 66, 67, 90, 94, 125, 126]","No release operation is displayed anywhere in the function. Although pointers are obtained, stored, and used, there is no locally visible free followed by use of a surviving alias.",gpt-5.6-sol,2484,173,0.01761,
CVE-2026-29004__patched__integer-overflow,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,integer-overflow,False,,ready,invalid_output,invalid_output,,,[],,gpt-5.6-sol,2442,1900,0.06921,provider returned no text and no explicit refusal
CVE-2026-29004__patched__null-pointer-dereference,CVE-2026-29004,busybox,patched,ghidra_pseudo_c,heap-buffer-overflow,null-pointer-dereference,False,,ready,,missing_output,,,[],,gpt-5.6-sol,,,,
