case_id,artifact_sha256,function_uid,target_class,source_row_count,expected_positive,semantic_status,pipeline_disposition,execution_status,category,summary
tier-b-case-b111eb91e1a79ebe60c176fc,e172b377acbad6bcb8f8a557ebb36437829bab6129c7ae657157c6030334d1ef,fn-f85c4f6016bffef52d674a93638771cd,out-of-bounds-read,1,True,unresolved,retain_and_escalate,resource_exhausted,unconfirmed_positive,Required static-tool coverage could not be completed before the frozen call limit: ['query_angr']
tier-b-case-b458bbf5b4ee3b7538c0ab0e,881febe14700f18c03321f23fab65ebb6ad7614e1467c98049cf6db4308ebaae,fn-0bd2eff750a9a12b67b17f5aed74336e,integer-overflow,1,True,unresolved,retain_and_escalate,infrastructure_error,unconfirmed_positive,"Provider stream outcome: provider_failed; provider_error={'type': None, 'code': 'cyber_policy', 'message': 'This content was flagged for possible cybersecurity risk. If this seems wrong, try rephrasing your request. To get authorized for security work, join the Trusted Access for Cyber program: https://chatgpt.com/cyber', 'param': None}; stream_exception={'type': 'APIError', 'message': 'This content was flagged for possible cybersecurity risk. If this seems wrong, try rephrasing your request. To get authorized for security work, join the Trusted Access for Cyber program: https://chatgpt.com/cyber'}"
tier-b-quarantine-e27454975247289b027eac32,,,heap-buffer-overflow,1,True,unresolved,retain_and_escalate,ingestion_quarantine,unconfirmed_positive,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-78b98927a5505648b25d55f4,,,integer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-194b283f1de8d6025b8166ae,,,out-of-bounds-read,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-763f8be60334e7b9bec842b8,,,integer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-8640bbf3549e07b6a3be7317,,,out-of-bounds-read,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-716baddc7a19be107edf6ef1,,,heap-buffer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-a9ff02fa8245a2e9f3b91512,,,integer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-13702edbca307808cc72176e,,,null-pointer-dereference,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-c8f0281d2ebef37bbebcf038,,,out-of-bounds-read,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-2e818edd9bb867a8f14956f4,,,integer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-5fb486ca0750be240641f39b,,,null-pointer-dereference,1,True,unresolved,retain_and_escalate,ingestion_quarantine,unconfirmed_positive,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-cf829226c2f5d0db66c20f29,,,out-of-bounds-read,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-0cc712b05c55013ab7f28449,,,command-injection,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-8e3c04c804bd57107c477534,,,integer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-7064e52f358e1d9e26019ecf,,,out-of-bounds-read,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-5844fca94464b7a385ca260f,,,integer-overflow,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-c332f35e6f993b2b4be11c92,,,null-pointer-dereference,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
tier-b-quarantine-8bbbcf780185121d89cf7aab,,,out-of-bounds-read,1,False,unresolved,retain_and_escalate,ingestion_quarantine,surviving_negative,No artifact-scoped function binding exists for the Tier A row
